lp,słowo,liczba,etykieta
940,pozywać,3,BDA
941,zwrócić,3,BBCA
942,prośba,3,ADAAA
943,naruszenie,3,AEBAA
944,złagodzenie,3,AEBAA
945,samopoczucie,3,AEBAA
946,wykonać,3,BDA
947,breivikiem,3,-
948,oświadczenie,3,AEBAA
949,hołd,3,ACAAAAA
950,erna,3,-
951,solberg,3,-
952,cześć,3,ADCCA
953,upamiętniający,3,BDA
954,umocnić,3,BBCB
955,biały,3,CAB
956,rasa,3,ADAAA
957,gest,3,ACAAAAA
958,oddalić,3,BBCA
959,posiadanie,3,AEBAA
960,zdobycie,3,AEBAA
961,przygotowywać,3,BAAB
962,domowy,3,CAB
963,umożliwić,3,BBCA
964,szaleniec,3,AAACBA
965,zawieść,3,BAFCAA
966,cudzoziemiec,3,AAACAAAA
967,półautomatyczny,3,CAB
968,toczyć,3,BCCA
969,uczestniczyć,3,BCCA
970,reszta,3,ADAAA
971,stosowanie,3,AEBAA
972,kolej,3,ADCAAA
973,ila,3,-
974,cud,3,ACAAAAA
975,ramia,3,ADACBAA
976,por,3,ABABAAA
977,doprowadzić,3,BBCA
978,następnie,3,FC
979,ponieść,3,BAFCAA
980,przeciwny,3,CAB
981,pomóc,3,BAFCAB
982,zależeć,3,BCBA
983,ogół,3,ACAAAAA
984,pójść,3,BAFCAA
985,niedawno,3,FC
986,przebieg,3,ACABA
987,południowy,3,CAB
988,dalej,3,FC
989,informować,3,BAAA
990,natychmiastowy,3,CAB
991,odciąć,3,BAFCB
992,masoński,3,CBA
993,ciąg,3,ACABA
994,najmłodszy,3,CAB
995,pełny,3,CAB
996,plan,3,ACAAAAA
997,program,3,ACAAAAA
998,królewski,3,CBA
999,funkcjonariusz,3,AAABD
1000,częściowo,3,FC
